school-wls-school-type	me	me-cy	start-date	end-date
1	Nursery, Infants & Juniors	Iau, babanod a meithrin		
2	Infants & Juniors	Iau a babanod		
3	Secondary (ages 11-19)	Uwchradd (ystod oedran 11-19)		
4	Special (with post-16 provision)	Arbennig gyda darpariaeth ôl-16		
5	Juniors	Iau		
6	Nursery & Infants	Babanod a meithrin		
7	Secondary (ages 11-16)	Uwchradd (ystod oedran 11-16)		
8	Middle (ages 3-16)	Canol (ystod oedran 3-16)		
9	Middle (ages 3-19)	Canol (ystod oedran 3-19)		
10	Special (without post-16 provision)	Arbennig heb ddarpariaeth ôl-16		
11	Nursery	Meithrin		
12	Infants	Babanod		
13	Middle (ages 4-19)	Canol (ystod oedran 4-19)		
