school-wls	name	enw	school-type-wls	principal-local-authority	address	cyfeiriad	start-date	end-date
6602130	Ysgol Gynradd Amlwch	Ysgol Gynradd Amlwch	1	AGY				
6602131	Ysgol Gynradd Beaumaris	Ysgol Gynradd Beaumaris	1	AGY				
6602132	Ysgol Gynradd Bodedern	Ysgol Gynradd Bodedern	1	AGY				
6602133	Ysgol Gymuned Bodffordd	Ysgol Gymuned Bodffordd	1	AGY				
6602134	Ysgol Gymuned Bodorgan	Ysgol Gymuned Bodorgan	2	AGY				
6602135	Ysgol Gymuned Bryngwran	Ysgol Gymuned Bryngwran	1	AGY				
6602136	Ysgol Gynradd Brynsiencyn	Ysgol Gynradd Brynsiencyn	1	AGY				
6602138	Ysgol Cemaes	Ysgol Cemaes	1	AGY				
6602139	Ysgol Gymuned Dwyran	Ysgol Gymuned Dwyran	2	AGY				
6602140	Ysgol Esceifiog	Ysgol Esceifiog	2	AGY				
6602141	Ysgol Gynradd Garreglefn	Ysgol Gynradd Garreglefn	1	AGY				
6602142	Ysgol Gymuned Y Ffridd	Ysgol Gymuned Y Ffridd	1	AGY				
6602145	Ysgol Gymuned Moelfre	Ysgol Gymuned Moelfre	1	AGY				
6602146	Ysgol Gynradd Llanbedrgoch	Ysgol Gynradd Llanbedrgoch	1	AGY				
6602152	Ysgol Gynradd Llanfairpwll	Ysgol Gynradd Llanfairpwll	2	AGY				
6602153	Ysgol Gymuned Llanfechell	Ysgol Gymuned Llanfechell	1	AGY				
6602154	Ysgol Y Graig	Ysgol Y Graig	1	AGY				
6602155	Ysgol Gynradd Llangoed	Ysgol Gynradd Llangoed	1	AGY				
6602156	Ysgol Henblas	Ysgol Henblas	2	AGY				
6602157	Ysgol Gymuned Llannerch-Y-Medd	Ysgol Gymuned Llannerch-Y-Medd	1	AGY				
6602160	Ysgol Pencarnisiog	Ysgol Pencarnisiog	1	AGY				
6602161	Ysgol Gymuned Pentraeth	Ysgol Gymuned Pentraeth	1	AGY				
6602162	Ysgol Penysarn	Ysgol Penysarn	1	AGY				
6602163	Ysgol Santes Gwenfaen	Ysgol Santes Gwenfaen	1	AGY				
6602164	Ysgol Gynradd Rhosneigr	Ysgol Gynradd Rhosneigr	1	AGY				
6602165	Ysgol Gynradd Rhosybol	Ysgol Gynradd Rhosybol	2	AGY				
6602166	Ysgol Gynradd Talwrn	Ysgol Gynradd Talwrn	2	AGY				
6602168	Ysgol Gymuned y Fali	Ysgol Gymuned y Fali	1	AGY				
6602169	Ysgol Llanfawr	Ysgol Llanfawr	1	AGY				
6602170	Ysgol Goronwy Owen	Ysgol Goronwy Owen	2	AGY				
6602172	Ysgol Gynradd Niwbwrch	Ysgol Gynradd Niwbwrch	1	AGY				
6602173	Ysgol Gynradd Y Tywyn	Ysgol Gynradd Y Tywyn	1	AGY				
6602174	Ysgol Gynradd Llandegfan	Ysgol Gynradd Llandegfan	2	AGY				
6602175	Ysgol Gynradd Y Borth	Ysgol Gynradd Y Borth	2	AGY				
6602176	Ysgol Gynradd Kingsland	Ysgol Gynradd Kingsland	1	AGY				
6602177	Ysgol Gymraeg Morswyn	Ysgol Gymraeg Morswyn	1	AGY				
6602226	Ysgol Gynradd Corn Hir	Ysgol Gynradd Corn Hir	2	AGY				
6602227	Ysgol Rhyd y Llan	Ysgol Rhyd y Llan	1	AGY				
6603034	Ysgol Gynradd Parc Y Bont	Ysgol Gynradd Parc Y Bont	1	AGY				
6603035	Ysgol Gynradd Llangaffo	Ysgol Gynradd Llangaffo	2	AGY				
6603036	Ysgol Cybi	Ysgol Cybi	1	AGY				
6603304	Ysgol Santes Fair	Ysgol Santes Fair	1	AGY				
6604025	Ysgol Syr Thomas Jones	Ysgol Syr Thomas Jones	3	AGY				
6604026	Ysgol Uwchradd Caergybi	Ysgol Uwchradd Caergybi	3	AGY				
6604027	Ysgol Gyfun Llangefni	Ysgol Gyfun Llangefni	3	AGY				
6604028	Ysgol David Hughes	Ysgol David Hughes	3	AGY				
6604029	Ysgol Uwchradd Bodedern	Ysgol Uwchradd Bodedern	3	AGY				
6605200	Ysgol Caergeiliog	Ysgol Caergeiliog	1	AGY				
6607011	Canolfan Addysg Y Bont	Canolfan Addysg Y Bont	4	AGY				
6612000	Ysgol Gwaun Gyfni	Ysgol Gwaun Gyfni	1	GWN				
6612004	Ysgol Gynradd Nefyn	Ysgol Gynradd Nefyn	1	GWN				
6612006	Ysgol Llanrug	Ysgol Llanrug	1	GWN				
6612008	Ysgol Gynradd Abererch	Ysgol Gynradd Abererch	1	GWN				
6612009	Ysgol Abersoch	Ysgol Abersoch	1	GWN				
6612010	Ysgol Beddgelert	Ysgol Beddgelert	1	GWN				
6612011	Ysgol Bethel	Ysgol Bethel	1	GWN				
6612013	Ysgol Bodfeurig	Ysgol Bodfeurig	1	GWN				
6612015	Ysgol Gynradd Borth-Y-Gest	Ysgol Gynradd Borth-Y-Gest	1	GWN				
6612017	Ysgol Brynaerau	Ysgol Brynaerau	1	GWN				
6612026	Ysgol Y Gelli	Ysgol Y Gelli	1	GWN				
6612028	Ysgol Penybryn	Ysgol Penybryn	5	GWN				
6612033	Ysgol Treferthyr	Ysgol Treferthyr	1	GWN				
6612035	Ysgol Cwm Y Glo	Ysgol Cwm Y Glo	1	GWN				
6612036	Ysgol Gynradd Chwilog	Ysgol Gynradd Chwilog	1	GWN				
6612039	Ysgol Crud-Y-Werin	Ysgol Crud-Y-Werin	1	GWN				
6612042	Ysgol Dolbadarn	Ysgol Dolbadarn	1	GWN				
6612046	Ysgol Gynradd Edern	Ysgol Gynradd Edern	1	GWN				
6612047	Ysgol Felinwnda	Ysgol Felinwnda	1	GWN				
6612048	Ysgol Bro Plenydd	Ysgol Bro Plenydd	1	GWN				
